sport,dport,ack_in,ack_out,byte,duration,flow,inbyte,outbyte,inpacket,outpacket,packet,psh_in,psh_out
65485,443,88,88,21061,1000000,1,5701,15360,88,88,176,7,81
65485,443,98,99,23602,1000000,1,7023,16579,98,99,197,13,87
65485,443,104,104,24984,1000000,1,6426,18558,104,104,208,6,98
65485,443,101,101,24426,1000000,1,5974,18452,101,101,202,4,97
65485,443,112,112,26894,1000000,1,7132,19762,112,112,224,8,104
65485,443,104,104,25202,1000000,1,6275,18927,104,104,208,5,99
65485,443,102,103,24446,1000000,1,6802,17644,102,103,205,10,93
65485,443,82,81,19579,1000000,1,5190,14389,82,81,163,6,76
65485,443,91,91,22034,1000000,1,5851,16183,91,91,182,7,84
65485,443,94,93,22481,1000000,1,6263,16218,94,93,187,9,85
65485,443,101,102,24925,1000000,1,6034,18891,101,102,203,4,99
65485,443,87,86,21276,1000000,1,4861,16415,87,86,173,1,85
65485,443,112,113,26666,1000000,1,7632,19034,112,113,225,12,101
65485,443,99,99,23912,1000000,1,6525,17387,99,99,198,9,90
65485,443,98,98,23968,1000000,1,6320,17648,98,98,196,8,92
65485,443,97,97,24148,1000000,1,5655,18493,97,97,194,3,95
65485,443,99,99,24381,1000000,1,5831,18550,99,99,198,3,96
65485,443,91,92,22488,1000000,1,5815,16673,91,92,183,7,85
65485,443,85,83,19952,1000000,1,5872,14080,85,83,168,10,75
65485,443,61,61,14250,1000000,1,4183,10067,61,61,122,7,54
65485,443,24,24,5636,1000000,1,1914,3722,25,25,50,4,20
65485,443,48,47,11030,1000000,1,3493,7537,48,47,95,7,41
65485,443,80,80,18860,1000000,1,5380,13480,80,80,160,8,72
65485,443,108,108,26506,1000000,1,6686,19820,108,108,216,6,103
65485,443,130,129,31192,1000000,1,8406,22786,130,129,259,10,120
65485,443,107,108,25578,1000000,1,6957,18621,107,108,215,9,99
65485,443,88,87,21438,1000000,1,5550,15888,88,87,175,6,82
65485,443,121,122,29582,1000000,1,7817,21765,121,122,243,9,113
65485,443,88,88,21514,1000000,1,5546,15968,88,88,176,6,84
65485,443,96,96,23817,1000000,1,5625,18192,96,96,192,3,93
65485,443,93,93,22428,1000000,1,5832,16596,93,93,186,6,87
65485,443,85,85,20095,1000000,1,5769,14326,85,85,170,9,76
65485,443,100,99,23849,1000000,1,6798,17051,100,99,199,10,90
65485,443,86,87,20541,1000000,1,5843,14698,86,87,173,9,78
65485,443,95,95,23193,1000000,1,5801,17392,95,95,190,5,90
65485,443,95,96,22926,1000000,1,5904,17022,95,96,191,6,90
65485,443,108,109,26397,1000000,1,6797,19600,108,109,217,7,103
65485,443,80,80,19533,1000000,1,5118,14415,80,80,160,6,74
65485,443,93,94,22700,1000000,1,5844,16856,93,94,187,6,88
65485,443,102,102,24243,1000000,1,6997,17246,102,102,204,11,92
65485,443,100,98,23763,1000000,1,6333,17430,100,98,198,7,92
65485,443,88,89,21084,1000000,1,5641,15443,88,89,177,7,82
65485,443,99,98,23329,1000000,1,6616,16713,99,98,197,10,89
65485,443,93,93,22134,1000000,1,5923,16211,93,93,186,7,86
65485,443,101,102,24173,1000000,1,6907,17266,101,102,203,11,92
65485,443,86,87,20702,1000000,1,5660,15042,86,87,173,8,79
65485,443,85,85,20719,1000000,1,4995,15724,85,85,170,3,82
65485,443,102,101,24707,1000000,1,6223,18484,102,101,203,5,97
65485,443,92,90,21967,1000000,1,6191,15776,92,90,182,9,83
65485,443,70,69,16556,1000000,1,4832,11724,70,69,139,8,62
65485,443,69,70,16422,1000000,1,4627,11795,69,70,139,7,63
65485,443,73,74,17644,1000000,1,4843,12801,73,74,147,7,67
65485,443,85,85,20527,1000000,1,5273,15254,85,85,170,5,80
65485,443,105,105,25328,1000000,1,6595,18733,105,105,210,7,98
65485,443,99,98,23372,1000000,1,6521,16851,99,98,197,9,90
65485,443,100,99,24518,1000000,1,6440,18078,100,99,199,8,93
65485,443,79,79,18583,1000000,1,5421,13162,79,79,158,9,70
65485,443,122,121,29914,1000000,1,7283,22631,122,121,243,5,117
65485,443,104,105,25189,1000000,1,6565,18624,104,105,209,7,98
65485,443,91,91,22956,1000000,1,5065,17891,91,91,182,1,90
65485,443,104,104,25286,1000000,1,6124,19162,104,104,208,4,100
65485,443,109,107,25780,1000000,1,7736,18044,109,107,216,14,95
65485,443,109,108,25730,1000000,1,7458,18272,109,108,217,12,97
65485,443,89,89,21908,1000000,1,5072,16836,89,89,178,2,87
65485,443,112,111,26965,1000000,1,7291,19674,112,111,223,9,103
65485,443,97,96,23434,1000000,1,5905,17529,97,96,193,5,92
65485,443,94,94,22617,1000000,1,6219,16398,94,94,188,9,86
65485,443,101,100,24743,1000000,1,6367,18376,101,100,201,7,94
65485,443,132,132,32111,1000000,1,8649,23462,132,132,264,11,122
65485,443,123,123,29310,1000000,1,7809,21501,123,123,246,9,114
65485,443,92,91,22254,1000000,1,5349,16905,92,91,183,3,89
65485,443,122,121,29315,1000000,1,8065,21250,122,121,243,11,112
65485,443,91,91,22389,1000000,1,5295,17094,91,91,182,3,88
